country,year,pop,areakm2,gdpnom,receipt,ovnarriv
12,12,297033,298,220900000,965750000,610750
13,0,381400,316,3963000000,731000000,1216000
13,1,393000,316,3919000000,704000000,1180000
13,2,396000,316,4303000000,757000000,1134000
13,3,398600,316,5126000000,869000000,1127000
13,4,401300,316,5648000000,949000000,1156000
13,5,403900,316,5989000000,924000000,1171000
13,6,406400,316,6388000000,966000000,1124000
13,7,409000,316,7513000000,1185000000,1244000
13,8,412000,316,8601000000,1336000000,1291000
13,9,414000,316,8118000000,1117000000,1182000
13,10,416000,316,8382000000,1257000000,1336000
13,11,415700,316,9123000000,1480000000,1412000
13,12,403942,316,8689000000,1022916667,1214417
14,0,52100,181,172000000,3000000,5000
14,1,52100,181,172000000,3100000,5000
14,2,52100,181,172000000,3400000,6000
14,3,52000,181,172000000,4000000,7000
14,4,52000,181,172000000,5000000,9000
14,5,52000,181,172000000,5700000,9000
14,6,52200,181,172000000,6600000,6000
14,7,52500,181,172000000,4500000,7000
14,8,52900,181,172000000,3000000,6000
14,9,53400,181,172000000,3500000,5000
14,10,54000,181,163000000,3300000,5000
14,11,54800,181,171000000,4100000,5000
14,12,52675,181,182000000,4100000,6250
15,0,107100,3185,310333333,17000000,21000
15,1,107300,3185,310333333,15000000,15000
15,2,107700,3185,310333333,17000000,19000
15,3,108300,3185,310333333,17000000,18000
15,4,108900,3185,310333333,17000000,19000
15,5,109400,3185,310333333,17000000,19000
15,6,109800,3185,310333333,19000000,19000
15,7,110100,3185,310333333,20000000,21000
15,8,110400,3185,310333333,22000000,26000
15,9,110700,3185,310333333,24000000,19667
15,10,111100,3185,294000000,25000000,19667
15,11,111500,3185,310000000,19090909,19667
15,12,109358,3185,327000000,19090909,19667
16,0,176500,2831,215000000,41000000,88000
16,1,177600,2831,226000000,39000000,88000
16,2,178500,2831,267000000,45000000,89000
16,3,179100,2831,331000000,54000000,92000
16,4,179700,2831,378000000,70000000,98000
16,5,180200,2831,407000000,79800000,102000
16,6,180800,2831,454000000,91400000,110000
16,7,181300,2831,520000000,102400000,117000
16,8,181800,2831,502000000,111600000,118000
16,9,182400,2831,572000000,115200000,122000
16,10,183000,2831,622000000,123700000,122000
16,11,183900,2831,643000000,134900000,121000
16,12,180400,2831,683000000,84000000,105583
17,0,141000,1001,77000000,9900000,7000
17,1,143400,1001,77000000,6200000,8000
17,2,145800,1001,85000000,6900000,9000
17,3,148000,1001,101000000,7400000,10000
17,4,150300,1001,111000000,7700000,11000
17,5,152600,1001,123000000,7300000,16000
17,6,155000,1001,135000000,6700000,12000
17,7,157400,1001,144000000,5000000,12000
17,8,160000,1001,183000000,7700000,14000
17,9,162500,1001,196000000,8300000,15000
17,10,165400,1001,201000000,11100000,8000
17,11,168500,1001,248000000,15900000,11091
17,12,154158,1001,264000000,8341667,11091
18,0,44300,261,416000000,58000000,73000
18,1,46100,261,455000000,62000000,71000
18,2,46700,261,478000000,57000000,69000
18,3,46700,261,461000000,75000000,91000
18,4,48500,261,498000000,103000000,118000
18,5,49200,261,536000000,121000000,141000
18,6,49800,261,630000000,132000000,139000
18,7,50500,261,689000000,125000000,123000
18,8,51100,261,740000000,110000000,128000
18,9,51800,261,689000000,83000000,93000
18,10,52400,261,673000000,90000000,92000
18,11,53000,261,718000000,93000000,103455
18,12,49175,261,734000000,92416667,103455
19,0,156000,617,764000000,281000000,270000
19,1,157900,617,708000000,233000000,250000
19,2,159100,617,723000000,210000000,253000
19,3,160600,617,781000000,282000000,277000
19,4,162400,617,858000000,326000000,298000
19,5,164300,617,909000000,382000000,318000
19,6,166400,617,1018000000,294000000,303000
19,7,168300,617,1132000000,302000000,287000
19,8,170300,617,1175000000,311000000,296000
19,9,172400,617,1174000000,296000000,278000
19,10,174000,617,1200000000,329000000,306000
19,11,176000,617,1211000000,317000000,312000
19,12,165642,617,1220000000,296916667,287333
21,0,107900,389,397000000,82000000,73000
21,1,108000,389,431000000,89000000,71000
21,2,108200,389,463000000,91000000,78000
21,3,108400,389,482000000,91000000,79000
21,4,108600,389,523000000,96000000,87000
21,5,108800,389,551000000,104000000,96000
21,6,108900,389,611000000,113000000,97000
21,7,109100,389,685000000,110000000,90000
21,8,109200,389,699000000,96000000,84000
21,9,109300,389,672000000,88000000,75000
21,10,109300,389,681000000,86000000,72000
21,11,109400,389,691000000,90000000,74000
21,12,108758,389,712000000,94666667,81333
22,0,97900,139,192000000,7000000,35000
22,1,98500,139,182000000,6800000,32000
22,2,99100,139,194000000,5900000,37000
22,3,99700,139,219000000,10300000,40000
22,4,100300,139,252000000,13100000,41000
22,5,100900,139,287000000,15000000,42000
22,6,101600,139,303000000,15700000,39000
22,7,102300,139,327000000,15200000,46000
22,8,102900,139,332000000,19500000,49000
22,9,103500,139,337000000,16800000,51000
22,10,104100,139,385000000,12530000,45000
22,11,104500,139,439000000,12530000,46000
22,12,101275,139,476000000,12530000,41917
25,0,4028000,710,94308000000,5142000000,6062000
25,1,4138000,710,87701000000,4641000000,5857000
25,2,4176000,710,90640000000,4458000000,5855000
25,3,4115000,710,95957000000,3842000000,4703000
25,4,4167000,710,1.13E+11,5327000000,6553000
25,5,4266000,710,1.25E+11,6209000000,7079000
25,6,4401000,710,1.46E+11,7536000000,7588000
25,7,4589000,710,1.78E+11,9066000000,7957000
25,8,4839000,710,1.9E+11,10714000000,7778000
25,9,4988000,710,1.86E+11,9368000000,7489000
25,10,5077000,710,2.32E+11,14133000000,9161000
25,11,5184000,710,2.66E+11,17990000000,10390000
25,12,5312500,710,2.77E+11,8202166667,7206000
26,0,1292000,5131,8157000000,371000000,399000
26,1,1297000,5131,8826000000,361000000,383000
26,2,1302000,5131,9009000000,402000000,384000
26,3,1306000,5131,11305000000,437000000,409000
26,4,1311000,5131,13280000000,568000000,433000
26,5,1315000,5131,15982000000,593000000,463000
26,6,1320000,5131,18369000000,517000000,461000
26,7,1326000,5131,21642000000,621000000,449000
26,8,1331000,5131,27870000000,557000000,437000
26,9,1336000,5131,19662000000,548000000,419000
26,10,1341000,5131,20593000000,630000000,386000
26,11,1346350,5131,23586000000,509545455,420273
26,12,1318612,5131,25277000000,509545455,420273
27,0,408700,28400,381000000,4000000,5000
27,1,420200,28400,380000000,8800000,12960
27,2,432100,28400,324000000,800000,12960
27,3,444300,28400,314000000,1600000,7000
27,4,456900,28400,363000000,3520000,5600
27,5,469800,28400,429000000,6400000,9000
27,6,483000,28400,471000000,35300000,11000
27,7,496500,28400,516000000,37800000,14000
27,8,510200,28400,608000000,40600000,16000
27,9,524100,28400,598000000,50000000,18000
27,10,538100,28400,682000000,65400000,21000
27,11,552300,28400,869000000,23110909,23000
27,12,478017,28400,1010000000,23110909,12960
